Column,Row,Year,Total,Abbreviation
0.5,0,2002,0.011,AK
0.5,0,2003,0.005,AK
0.5,0,2004,0.005,AK
0.5,0,2005,0.005,AK
0.5,0,2006,0.01,AK
0.5,0,2007,0.01,AK
0.5,0,2008,0.01,AK
0.5,0,2009,0.025,AK
0.5,0,2010,0.019,AK
0.5,0,2011,0.019,AK
0.5,0,2012,0.01,AK
0.5,0,2013,0.03,AK
0.5,0,2014,0.015,AK
0.5,0,2015,0.012,AK
0.5,0,2016,0.007,AK
0.5,0,2017,0.012,AK
0.5,8,2002,0.02,HI
0.5,8,2003,0.013,HI
0.5,8,2004,0.015,HI
0.5,8,2005,0.012,HI
0.5,8,2006,0.012,HI
0.5,8,2007,0.012,HI
0.5,8,2008,0.015,HI
0.5,8,2009,0.028,HI
0.5,8,2010,0.047,HI
0.5,8,2011,0.047,HI
0.5,8,2012,0.042,HI
0.5,8,2013,0.046,HI
0.5,8,2014,0.051,HI
0.5,8,2015,0.028,HI
0.5,8,2016,0.013,HI
0.5,8,2017,0.017,HI
1.5,2,2002,0.007,WA
1.5,2,2003,0.009,WA
1.5,2,2004,0.009,WA
1.5,2,2005,0.006,WA
1.5,2,2006,0.013,WA
1.5,2,2007,0.009,WA
1.5,2,2008,0.014,WA
1.5,2,2009,0.016,WA
1.5,2,2010,0.011,WA
1.5,2,2011,0.018,WA
1.5,2,2012,0.017,WA
1.5,2,2013,0.017,WA
1.5,2,2014,0.01,WA
1.5,2,2015,0.011,WA
1.5,2,2016,0.014,WA
1.5,2,2017,0.008,WA
1.5,4,2002,0.012,OR
1.5,4,2003,0.012,OR
1.5,4,2004,0.006,OR
1.5,4,2005,0.01,OR
1.5,4,2006,0.01,OR
1.5,4,2007,0.009,OR
1.5,4,2008,0.008,OR
1.5,4,2009,0.014,OR
1.5,4,2010,0.016,OR
1.5,4,2011,0.012,OR
1.5,4,2012,0.011,OR
1.5,4,2013,0.012,OR
1.5,4,2014,0.01,OR
1.5,4,2015,0.007,OR
1.5,4,2016,0.01,OR
1.5,4,2017,0.012,OR
2,3,2002,0.04,ID
2,3,2003,0.03,ID
2,3,2004,0.031,ID
